content,a,b,c,d,correct_option
"In a bar graph showing the number of vehicles sold by a company over six months as 300, 350, 400, 450, 500, and 550, what is the percentage increase in sales from the first month to the last month?",83.33%,75%,85%,80%,A
Which of the following expressions correctly represents factorial of (n+1)?,(n+1) × n!,n × (n-1)!,n! + 1,(n-1) × n!,A
What is the value of 7! - 6!?,4320,5040,360,720,A
"Five friends P, Q, R, S, and T are sitting in a row. P is to the immediate left of Q. R is to the immediate right of S. T is at one of the ends. Who is sitting in the middle?",P,Q,R,S,B
"In a certain code, TABLE is written as YFQGF. How is CHAIR written in that code?",HMFNU,HMFSU,HMFSV,HMFOV,B
"A man walks 3 km north, then 4 km east, and then 3 km south. How far is he from his starting point?",4 km,5 km,3 km,6 km,A
"There are three boxes. One contains only apples, one contains only oranges, and one contains both apples and oranges. All are incorrectly labeled. You can pick only one fruit from one box to identify the correct labels. Which box should you pick from?",The box labeled 'Apples and Oranges',The box labeled 'Apples',The box labeled 'Oranges',Any box,A
"If in a certain code, 2 means +, 3 means -, 4 means ×, and 5 means ÷, then what is the value of 6 2 3 4 2 5 2 3 8?",3,5,7,9,A
A farmer has 17 sheep and all but 9 die. How many sheep are left?,8,9,17,0,B
"If today is Thursday, what day will it be 45 days from now?",Sunday,Monday,Tuesday,Wednesday,A
There are 5 houses painted in different colors. The green house is immediately to the right of the ivory house. The person in the yellow house drinks coffee. The blue house owner drinks tea. Who drinks water?,Person in the red house,Person in the green house,Person in the yellow house,Person in the blue house,A
The roots of the quadratic equation 2x² - 5x + 3 = 0 are:,1 and 1.5,3 and 0.5,2 and 1,1 and 3,A
"If a + b = 7 and a² + b² = 25, what is the value of ab?",12,6,13,18,B
She is very good _____ playing the piano.,at,in,on,by,A
"If x and y satisfy the system: x + y = 8 and 2x - y = 3, what is the value of x?",3,4,5,6,C
"The sum of the roots of the equation x² - 6x + k = 0 is 6. If one root is twice the other, what is the value of k?",8,9,10,12,B
"If (x - 3)² - (x + 5)(x - 1) = 0, what is the value of x?",4,2,1,-4,B
For what value of m does the equation x² + (m - 3)x + m = 0 have real and distinct roots?,m > 7,m < 7,m = 7,m ≥ 7,A
"If the arithmetic progression has first term a and common difference d, and its nth term is zero, which equation represents n?",a + (n - 1)d = 0,a - (n - 1)d = 0,a + nd = 0,a - nd = 0,A
"Statement: The government has announced a new policy to promote electric vehicles.
Which of the following assumptions is implicit in the statement?",Electric vehicles are better for the environment,People do not use electric vehicles currently,The government wants to ban petrol vehicles,Electric vehicles are cheaper than petrol vehicles,A
"Statement: The company decided to increase the salary of all employees by 10%.
Which of the following assumptions is definitely made in the statement?",The company has sufficient funds to increase salaries,Employees were unhappy with their salaries,The company wants to reduce employee turnover,All employees are equally productive,A
"Statement: A school has decided to introduce a new computer course from next month.
Which assumption is implicit in the statement?",Students are interested in learning computers,There was no computer course earlier,The school has adequate computer facilities,Teachers are not skilled in computers,C
"Statement: To reduce pollution, the city administration has banned the use of plastic bags.
Which assumption is made here?",Plastic bags contribute to pollution,People use plastic bags frequently,Alternatives to plastic bags are available,The ban will be strictly enforced,A
"Statement: The restaurant offers a 20% discount on all items to senior citizens every Sunday.
Which assumption is implicit?",Senior citizens visit the restaurant on Sundays,The restaurant wants to increase its Sunday sales,Senior citizens cannot afford full price meals,The discount applies only to certain dishes,A
"Statement: The manager said, ""Only those who work hard will get promotions.""
Which assumption is made in this statement?",Promotion is based on merit,Everyone is working hard,Some employees are lazy,Promotions are given frequently,A
"Statement: The government has decided to build more hospitals in rural areas.
Which assumption is implicit?",Healthcare facilities in rural areas are inadequate,People in cities do not need more hospitals,Building hospitals will solve all health problems,Doctors prefer to work in rural areas,A
"Statement: The school has introduced a strict attendance policy to improve student performance.
Which assumption is made here?",Regular attendance affects academic performance,Students are not interested in studies,Teachers are not strict enough,Parents support the attendance policy,A
"Statement: The traffic police have started imposing heavy fines on those who violate traffic rules.
Which assumption is implicit?",People frequently violate traffic rules,Fines will stop violations completely,Traffic rules are too strict,Traffic police are corrupt,A
"Statement: The municipality has planned to plant more trees in the city parks.
Which assumption is made in the statement?",More trees will improve the environment,There are no trees currently in the parks,People do not like the existing trees,Planting trees is the only way to improve parks,A
Which team won the 2022 UEFA Champions League?,Real Madrid,Liverpool,Bayern Munich,Manchester City,A
"The difference between compound interest and simple interest on a certain sum for 2 years at the same rate is Rs. 120. If the rate of interest is 10% per annum, what is the principal amount?",Rs. 6000,Rs. 8000,Rs. 12000,Rs. 10000,D
Who won the 2023 Australian Open Women's Singles title?,Aryna Sabalenka,Iga Swiatek,Elena Rybakina,Ons Jabeur,A
"If the ratio of two numbers is 3:4 and their sum is 56, what is the larger number?",24,32,36,28,B
"The ratio of ages of two brothers is 5:7. After 4 years, the ratio will be 3:4. What is the present age of the younger brother?",20 years,15 years,25 years,18 years,A
"Two quantities are in the ratio 7:9. If 14 is added to each, the new ratio becomes 3:4. Find the original quantities.",35 and 45,28 and 36,21 and 27,14 and 18,A
"A mixture contains alcohol and water in the ratio 5:3. If 4 liters of water is added, the ratio becomes 5:4. What is the quantity of alcohol in the mixture?",10 liters,15 liters,20 liters,25 liters,C
"The ratio of the speeds of two trains is 3:4. If the first train covers 180 km in 3 hours, how long will the second train take to cover 320 km?",4 hours,3.5 hours,5 hours,6 hours,A
"The ratio of the number of boys to girls in a class is 7:9. If 4 boys join the class and 6 girls leave, the ratio becomes 2:3. Find the total number of students initially in the class.",64,68,72,76,C
"If a sum of money is divided among A, B, and C in the ratio 2:3:5 and A receives 40% more than B, what is the ratio of A to C?",7:10,14:25,4:5,3:5,B
"The ratio of two numbers is 9:11. If each is increased by 5, the ratio becomes 7:8. Find the original numbers.",27 and 33,18 and 22,36 and 44,45 and 55,A
"In a recipe, the ratio of flour to sugar to butter is 5:2:1. If 4 cups of sugar are used, how many cups of butter are needed?",1 cup,2 cups,3 cups,4 cups,A
"A and B can do a work in the ratio of 3:5. If A alone can complete the work in 30 days, how many days will B alone take to complete the work?",18 days,25 days,50 days,75 days,C
The phrase 'Hit the sack' means:,To go to sleep,To start working,To get angry,To eat a meal,A
Which country lifted the 2022 Women's Hockey World Cup trophy?,Netherlands,Argentina,Germany,Australia,A
Which country won the 2023 Asia Cup in cricket?,India,Sri Lanka,Pakistan,Bangladesh,A
"If the ratio of two numbers is 5:7 and their sum is 96, what is the smaller number?",40,35,30,42,A
"If the area of a square is 144 sq. cm, what is the length of one side?",12 cm,14 cm,16 cm,18 cm,A
"A rectangle has a perimeter of 60 m. If its length is 18 m, what is its breadth?",12 m,14 m,15 m,16 m,C
"A square and a rectangle have the same perimeter of 48 cm. If the length of the rectangle is 15 cm, what is the difference between their areas?",39 sq. cm,27 sq. cm,45 sq. cm,33 sq. cm,A
A cylinder has a volume of 1540 cm³ and height 14 cm. What is the radius of the cylinder?,5 cm,7 cm,10 cm,11 cm,B
The curved surface area of a cylinder is 352 cm² and its height is 14 cm. Find the radius of the cylinder.,8 cm,7 cm,9 cm,10 cm,B
Identify the correctly formed comparative degree of the adjective 'happy'.,happier,more happier,most happy,happiest,A
Choose the sentence with the correct use of the superlative degree of the adjective 'bad'.,This is the worst movie I have ever seen.,This is the more bad movie I have seen.,This is the most bad movie I have seen.,This is the badest movie I have ever seen.,A
Identify the correct form of the adjective in the sentence: 'This is the ________ day of my life.',better,good,best,more good,C
Find the error in the sentence: 'My house is more bigger than yours.',more bigger,than yours,My house,is,A
Select the correct form of the adjective: 'She is _______ than her sister.',more beautifuler,more beautiful,beautifuller,beautifulest,B
Which of the following sentences uses the superlative degree correctly?,This is the more easiest method.,She is the tallest girl in the class.,He is the most fastest runner.,This is the bestest solution.,B
Choose the sentence with the correct use of comparative degree.,Today is more hotter than yesterday.,Today is hotter than yesterday.,Today is hottest than yesterday.,Today is the hottest than yesterday.,B
A cylinder and a cone have the same radius and height. What is the ratio of the volume of the cylinder to that of the cone?,3:1,1:3,2:1,1:2,A
Which of the following was a major city of the Indus Valley Civilization known for its advanced urban planning?,Harappa,Nalanda,Pataliputra,Taxila,A
A boat takes 3 hours to travel 24 km downstream and 4 hours to return the same distance upstream. What is the speed of the stream?,2 km/h,3 km/h,4 km/h,5 km/h,A
"If a sum of money amounts to Rs. 1260 in 2 years and to Rs. 1320 in 3 years at simple interest, what is the principal amount?",Rs. 1200,Rs. 1100,Rs. 1000,Rs. 1050,A
The radius of a cylinder is 4 cm and the volume is 201.06 cm³. Find the height of the cylinder (Use π = 3.14).,4 cm,5 cm,6 cm,7 cm,C
What is the lateral surface area of a cylinder with radius 3.5 m and height 8 m?,176 m²,175 m²,180 m²,182 m²,B
The radius of a cylinder is tripled while the height is halved. What is the factor change in the volume of the cylinder?,3/2,9/2,27/2,9/4,B
What does IP stand for in the context of internet networking?,Internet Protocol,Internal Program,Interconnected Process,Interface Packet,A
Statement: All flowers are plants. Some plants are green. Conclusion I: Some flowers are green. Conclusion II: All plants are flowers.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,D
Statement: Some fruits are sweet. All sweets are candies. Conclusion I: Some fruits are candies. Conclusion II: All candies are sweet.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,B
Statement: No cars are bicycles. Some bicycles are motorcycles. Conclusion I: Some motorcycles are not cars. Conclusion II: No motorcycles are cars.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,A
Statement: Some pens are pencils. Some pencils are erasers. Conclusion I: Some pens are erasers. Conclusion II: Some erasers are pencils.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,B
Statement: All birds can fly. Penguins are birds. Conclusion I: Penguins can fly. Conclusion II: Some birds cannot fly.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,D
Statement: Some students are hardworking. All hardworking people are successful. Conclusion I: Some students are successful. Conclusion II: All students are successful.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,A
Statement: No apples are oranges. Some oranges are sweet. Conclusion I: Some sweet fruits are not apples. Conclusion II: No apples are sweet.,Only conclusion I follows,Only conclusion II follows,Both conclusions I and II follow,Neither conclusion I nor II follows,A
Identify the figure that is NOT embedded in the main diagram.,Star,Hexagon,Circle,Rectangle,A
Find the embedded figure that has all sides equal in the given image.,Rectangle,Square,Trapezium,Rhombus,D
Which figure is embedded as a part of the larger shape shown?,Circle,Ellipse,Triangle,Square,C
"In the given figure, which shape is embedded twice?",Triangle,Circle,Square,Star,A
Identify the embedded figure that has exactly three sides.,Square,Circle,Triangle,Rectangle,C
Find the embedded figure with no corners in the given complex image.,Circle,Triangle,Square,Pentagon,A
Which embedded figure is symmetrical along both vertical and horizontal axes?,Rectangle,Triangle,Circle,Parallelogram,A
"In the embedded figures, which one has the maximum number of sides?",Hexagon,Pentagon,Square,Triangle,A
Which of the following embedded figures forms part of a star shape?,Triangle,Circle,Square,Rectangle,A
At what time between 3 and 4 o'clock will the hands of a clock be at right angles for the first time?,3:15,3:22 8/11,3:27 3/11,3:30,B
The Vernacular Press Act was passed in which year?,1878,1857,1905,1919,A
The sum of the number of sides and diagonals of a polygon is 44. How many sides does the polygon have?,11,12,13,14,C
What is the theme of World Environment Day 2024?,Planet Restoration,Beat Plastic Pollution,Ecosystem Restoration,Time for Nature,A
Which schedule of the Indian Constitution deals with the provisions related to Panchayati Raj institutions?,Eleventh Schedule,Twelfth Schedule,Tenth Schedule,Ninth Schedule,A
What is the value of (25 × 4) ÷ (5 × 2)?,10,5,20,25,A
Simplify: 144 ÷ 12 × 3 + 5 × 2,49,43,46,50,A
Find the value of (3/4) × 16 ÷ (2/3),18,12,16,24,A
Simplify: (5 + 3)² − (7 − 2) × 4,24,16,32,20,A
What is the simplified value of (81/9) ÷ (3/2) + 7?,13,12,14,15,A
Calculate: (50 − 3 × 8) + (16 ÷ 4)²,42,46,40,38,A
Simplify: 5 × (6 + 2) ÷ (3 + 1) − 4,6,8,4,10,A
Find the value of 2 + 3 × 4 − 6 ÷ 2 + (8 − 5),15,14,16,13,A
Evaluate: (9² − 8²) ÷ (17 − 15) + 3,44,42,40,46,A
How many diagonals are there in a polygon with 12 sides?,54,60,66,72,A
The Indian Councils Act of 1892 primarily aimed at,introducing limited reforms in the legislative councils,abolishing the salt tax,establishing separate electorates,granting full self-government to India,A
"From a point 50 m away from the foot of a tower, the angle of elevation of the top of the tower is 30°. What is the height of the tower?",25 m,50 m,30 m,40 m,A
"A man 1.8 m tall is standing at a distance from a building such that the angle of elevation to the top of the building is 45°. If the length of the shadow of the man is 1.8 m, what is the height of the building?",10.8 m,7.2 m,9 m,8.4 m,C
"The angle of elevation of the top of a tower from a point on the ground is 60°. If the height of the tower is 40 m, how far is the point from the base of the tower?",40√3 m,20√3 m,80 m,20 m,B
"The angle of elevation of the top of a tower from a point on the ground is 45°. After walking 20 m towards the tower, the angle of elevation becomes 60°. What is the height of the tower?",20√3 m,40 m,20 m,30 m,A
"A ladder leaning against a wall makes an angle of 60° with the ground. If the foot of the ladder is 4 m away from the wall, what is the length of the ladder?",8 m,4√3 m,6 m,8√3 m,B
"From a point on the ground, the angle of elevation of the top of a tree is 30°. After moving 10 m closer to the tree, the angle of elevation becomes 60°. What is the height of the tree?",10 m,5 m,20 m,15 m,A
The angle of elevation of the top of a building from a point on the ground is 45°. The height of the building is 15 m. What is the distance of the point from the building?,15 m,30 m,15√2 m,7.5 m,A
"A tower is 50 m high. From a point on the ground, the angle of elevation to the top of the tower is 37°. What is the distance of the point from the base of the tower?",63 m,40 m,80 m,70 m,A
"A square paper is folded once along the vertical line and then once along the horizontal line. If a hole is punched at the center of the folded paper, how many holes will appear when the paper is unfolded?",1,2,4,8,C
"A rectangular paper is folded in half twice along the same direction. After unfolding, how many creases will the paper have?",1,2,3,4,B
A paper is folded in half diagonally to form a triangle. Which of the following shapes will appear when a hole is punched near the fold and the paper is unfolded?,Square,Circle,Two triangles,Two symmetrical holes,D
"A paper is folded thrice – first vertically, then horizontally, and then diagonally. If a hole is punched at one corner of the folded paper, how many holes will appear when unfolded?",4,6,8,12,C
"When a square paper is folded twice, once vertically and once horizontally, and a single triangular cut is made near the center, what will be the total number of triangular holes after unfolding?",1,2,3,4,D
"A paper is folded in half and then folded again along the same direction. If a semicircular hole is punched on the folded edge, which shape will appear after unfolding?",Two semicircles,One full circle,One semicircle,Four semicircles,B
"A rectangular paper is folded once diagonally. A hole is punched at the midpoint of the folded edge. When unfolded, how many holes will be visible?",1,2,3,4,B
"If a paper is folded four times alternately in vertical and horizontal directions and a hole is punched at a corner of the folded paper, how many holes will appear after unfolding?",8,12,16,20,C
A paper is folded once vertically and then once diagonally. A hole is punched at the fold intersection point. How many holes will be there after unfolding?,2,3,4,6,B
"A square paper is folded in half twice, first vertically and then horizontally. If a tiny triangular cut is made near the corner of the folded paper, how many such triangles will appear after unfolding?",1,2,3,4,D
Which act formally divided Bengal in 1905?,Indian Councils Act 1909,Partition of Bengal Act,Government of India Act 1919,Bengal Partition Act 1905,D
All cats are animals. Some animals are wild. Which of the following conclusions logically follows?,Some cats are wild,All animals are cats,Some animals are cats,No cat is wild,C
Who is the author of the book that won the Booker Prize in 2022?,Geetanjali Shree,Arundhati Roy,Salman Rushdie,Jhumpa Lahiri,A
"If he _____ harder, he would have passed the exam.",studied,study,studies,had studied,D
The manager asked me _____ the report by Monday.,to submit,submitting,submitted,submit,A
"Despite _____ very tired, she continued working.",being,be,been,was,A
He has shown great _____ in completing the project on time.,diligence,diligent,diligently,diligents,A
The teacher said that the earth _____ around the sun.,revolves,revolve,revolved,revolving,A
He was late for the meeting _____ he missed the bus.,because,although,despite,if,A
The novel was so _____ that I couldn't put it down.,engaging,engage,engaged,engages,A
Neither the students nor the teacher _____ present in the class.,was,were,is,are,A
They have been friends _____ childhood.,since,for,from,during,A
"Eight people are sitting around a circular table facing the center. If A is third to the right of B and B is second to the left of C, who is opposite to A?",D,E,F,G,C
Five friends are sitting in a row. P is sitting to the immediate left of Q. R is next to S but not next to P. Who is sitting at the extreme left?,P,R,S,Q,B
"Ten students are sitting in two rows of five each, facing each other. If A is sitting third to the left of B in the front row and C is sitting second to the right of D in the back row, who is facing A?",C,D,E,B,B
"Four persons P, Q, R, and S are sitting around a square table. P faces the North. Q sits to the immediate right of P. Who sits opposite to P?",Q,R,S,Cannot be determined,C
Seven people are sitting around a circular table. A is second to the right of B. C is third to the left of A. Who is immediate left of B?,C,D,E,F,B
Five friends are sitting in a row facing north. A is sitting to the immediate right of B. B is not at the extreme end. Who is sitting at the extreme left end?,A,B,C,Cannot be determined,D
Six people are sitting in a circle. A is opposite to B. C is to the immediate left of B. D is second to the right of A. Who is to the immediate right of D?,C,E,F,B,B
Eight people are sitting in a row. A is sixth to the right of B. B is second from the left end. How many people are there in the row?,8,9,7,Cannot be determined,A
Ten people are sitting around a round table facing the center. A is second to the left of B. C is third to the right of B. Who is third to the left of A?,C,D,E,F,C
Which device is primarily used to convert digital signals into audio output in everyday computers?,Speaker,Monitor,Keyboard,Printer,A
A shopkeeper buys an article for Rs. 500 and sells it at a profit of 20%. What is the selling price of the article?,Rs. 600,Rs. 550,Rs. 580,Rs. 620,A
Which literary award is often referred to as the 'Nobel Prize of Literature'?,Booker Prize,Pulitzer Prize,Nobel Prize in Literature,Jnanpith Award,C
What is the sum of the roots of the quadratic equation 2x² - 4x + 1 = 0 using the quadratic formula?,2,4,-2,-4,A
The Jnanpith Award is presented for outstanding contribution in which field?,Literature,Science,Sports,Cinema,A
Which of the following Indian authors has NOT won the Booker Prize?,Ruskin Bond,Arundhati Roy,Kiran Desai,Salman Rushdie,A
"From a point P, a man walks 10 km towards west, then turns south and walks 5 km. What is the shortest distance between his final position and point P?",15 km,11.18 km,10 km,5 km,B
"If a person is facing south and turns 135° in the clockwise direction, which direction will he be facing now?",North-East,South-West,North-West,East,C
"A person walks 7 km north, then 7 km east, and then 7 km south. In which direction and how far is he from his starting point?",7 km east,14 km east,7 km west,14 km west,A
"If a man walks 6 km south, then turns right and walks 8 km, then turns right again and walks 6 km. What is the direction of his final position from the starting point?",East,West,North,South,A
A person facing east turns 225° in the anti-clockwise direction. Which direction is he now facing?,North-West,South-West,North-East,South-East,B
"A man walks 10 km north, then 6 km west, then 10 km south. How far is he from the starting point and in which direction?",6 km west,4 km east,6 km east,4 km west,A
"If a person facing north turns 90° clockwise and then 180° anticlockwise, which direction will he be facing?",West,South,East,North,A
"A man moves 3 km east, then turns left and walks 4 km, then turns left again and walks 3 km. How far is he from his original position?",4 km,3 km,7 km,5 km,A
What is the volume of a hemisphere with radius 7 cm?,1436 cm³,1078 cm³,1796 cm³,1540 cm³,B
"Eight friends A, B, C, D, E, F, G, and H are sitting in a circle, all facing outside. A is second to the right of B, who is third to the left of C. D is opposite to A. Who is sitting to the immediate right of D?",F,G,E,H,C
"Choose the correct word to complete the sentence: She was willing to ___ the gift, but not the conditions attached to it.",accept,except,expect,access,A
Which word correctly completes this sentence? He did not ___ the blame for the accident.,accept,except,access,expect,A
Fill in the blank with the correct word: All the students passed the exam ___ for two.,accept,except,expect,access,B
The Sahitya Akademi Award is given by which organization?,Government of India,Sahitya Akademi,Rashtrapati Bhavan,Ministry of Culture,B
Which award is specifically given for children's literature in India?,Bal Sahitya Puraskar,Sahitya Akademi Award,Jnanpith Award,Padma Shri,A
Which international literary award is given annually by the PEN American Center?,PEN/Faulkner Award,Booker Prize,Pulitzer Prize,Hugo Award,A
Select the word closest in meaning to 'Diligent'.,Lazy,Hardworking,Careless,Negligent,B
Choose the synonym of 'Benevolent'.,Kind,Cruel,Selfish,Hostile,A
What is the synonym of 'Ambiguous'?,Clear,Vague,Certain,Obvious,B
Choose the synonym of 'Impartial'.,Biased,Neutral,Prejudiced,Partial,B
Find the synonym of 'Resilient'.,Weak,Flexible,Fragile,Delicate,B
Select the synonym of 'Tedious'.,Interesting,Boring,Exciting,Lively,B
"Pointing to a photograph, a man said, 'I have no brother or sister, but that man's father is my father's son.' Who is the man in the photograph?",His son,His father,His nephew,His cousin,A
"A woman said to a man, 'Your mother's only son is my father's son.' How is the woman related to the man?",Sister,Mother,Daughter,Aunt,A
"In a family, P is the father of Q. Q is the mother of R. R is the brother of S. How is S related to P?",Grandchild,Son,Daughter,Nephew,A
"The average of five numbers is 20. If one number is excluded, the average becomes 18. What is the excluded number?",30,25,20,15,A
"The average of 10 numbers is 25. If each number is increased by 5, what will be the new average?",30,20,25,35,A
The average weight of 8 boys is 40 kg and the average weight of 12 girls is 35 kg. What is the average weight of the group?,37,38,36,39,B
"The average of x, y, and z is 18. If z is twice of x and y is 3 times x, what is the value of x?",6,9,3,12,A
"The average of 15 numbers is 50. If one number 90 is replaced by 30, what will be the new average?",48,49,50,47,B
"The average marks of a class of 40 students is 70. If the average marks of 25 students is 65, find the average marks of the remaining students.",78,75,80,72,A
"The average of n numbers is 30. When 3 is added to each number, the average becomes 33. Find n if the sum of the numbers is 600.",20,15,25,30,A
"The average of 12 numbers is 45. If 3 numbers whose average is 60 are removed, what is the average of the remaining numbers?",40,42,43,44,B
"The average of 7, 14, x, 21, and 28 is 18. What is the value of x?",10,11,12,13,C
"The average salary of 5 employees in a company is Rs. 12,000. If the salary of one employee is Rs. 15,000, what is the average salary of the remaining employees?","11,250","10,500","9,000","12,500",A
"Find the number of solutions to the equation tan x = √3 in the interval [0, 2π).",1,2,3,4,B
"Which figure will come next in the series: a triangle pointing upwards, a triangle pointing downwards, a triangle pointing upwards, ?",Triangle pointing left,Triangle pointing downwards,Triangle pointing right,Square,B
"Identify the next figure in the series: circle with one dot, circle with two dots, circle with three dots, ?",Circle with four dots,Circle with no dots,Square with one dot,Circle with three dots,A
"Find the missing figure in the series: square with one diagonal, square with two diagonals, square with three diagonals, ?",Square with four diagonals,Square with two diagonals,Square with no diagonal,Square with four sides,C
Which figure logically follows: a pattern of alternating black and white circles increasing by one each step starting from one black circle?,Five black circles,Five white circles,Six black circles,Four white circles,B
"What is the next figure in the sequence: a star inside a circle, a circle inside a square, a square inside a triangle, ?",Triangle inside a star,Circle inside a star,Triangle inside a circle,Star inside a square,A
"Determine the next figure: a pattern of increasing number of sides starting from triangle, square, pentagon, hexagon, ?",Heptagon,Octagon,Nonagon,Decagon,A
"Choose the next figure in the series: a hollow circle, a solid circle, a hollow square, a solid square, ?",Hollow triangle,Solid triangle,Hollow circle,Solid circle,A
"What comes next in the series: a figure with one horizontal line, a figure with two horizontal lines, a figure with three horizontal lines, ?",Figure with four horizontal lines,Figure with three vertical lines,Figure with two horizontal lines,Figure with one vertical line,A
"Identify the next figure: a diamond shape rotated 0°, diamond rotated 45°, diamond rotated 90°, ?",Diamond rotated 135°,Diamond rotated 180°,Diamond rotated 45°,Diamond rotated 0°,A
"A table shows the monthly sales (in units) of three products A, B, and C over six months. If the total sales of product B in the first three months is 540 units, what is the average monthly sales of product B during these months?",180 units,160 units,200 units,190 units,A
"Given a table representing the population of five cities over four years, if the population of City C increased by 20% from 2019 to 2020, and was 120,000 in 2019, what was the population of City C in 2020?","144,000","140,000","150,000","130,000",A
"A table displays the number of students enrolled in three different courses (X, Y, Z) in three different years. If the total enrollment in course Y over three years is 750 and enrollment in the first year was 200, what is the average enrollment in course Y in the remaining two years?",275,280,250,270,A
"In a table showing monthly production of four factories, Factory D produces 15% less than Factory B. If Factory B produces 460 units in a month, what is the monthly production of Factory D?",391 units,395 units,400 units,385 units,A
"From a table of quarterly revenue (in crores) for five companies over two years, if the total revenue of Company E in the second year is 48 crores and the revenue in the third quarter is 14 crores, what is the average revenue for the other three quarters of that year?",11.33 crores,12 crores,10.5 crores,13 crores,A
"A table lists the number of items sold by four salespersons over four months. If the total items sold by Salesperson A in the first two months is 540 and the number of items sold in the first month is 260, what percentage of the total items sold in these two months was sold in the second month?",51.85%,48.15%,50%,52.5%,A
"In a table showing expenses of a company on four departments over five years, if the total expense on the Marketing department is 2.5 crores and the expense in the third year is 40 lakhs, what is the average expense on Marketing in the remaining years?",42 lakhs,45 lakhs,50 lakhs,40 lakhs,A
"A table presents the number of vehicles manufactured by three companies over six months. If Company A manufactured 25% more vehicles than Company B in April and Company B produced 800 vehicles, how many vehicles did Company A manufacture in April?",1000,950,1050,1100,A
"Given a table of profit (in lakhs) earned by five companies across four quarters, if Company C earned 18 lakhs in the first quarter and the total profit for the year was 72 lakhs, what is the average quarterly profit for the remaining quarters?",18 lakhs,16 lakhs,20 lakhs,17 lakhs,A
"In a table showing the consumption of electricity (in units) by five sectors over three months, if the total consumption by the Industrial sector is 5400 units and the consumption in the second month is 1800 units, what is the percentage change if the consumption in the first month was 2100 units?",-14.29%,14.29%,-15.25%,15.25%,A
"If the unit digit of the number 9^n is 9, what can be the value of n?",Any odd number,Any even number,Multiple of 4,Multiple of 3,A
"In a table showing monthly sales of five products (A, B, C, D, E) in units for January, February, and March, if product A sold 120, 150, and 130 units respectively, what is the total sales of product A for the quarter?",400,410,420,390,A
"Given a table showing the number of students enrolled in five different courses over four years, if course C had 200, 250, 300, and 350 students respectively, what is the percentage increase in enrollments from the first to the last year for course C?",75%,50%,60%,80%,A
"A table presents the production quantity (in thousands) of cars by four factories P, Q, R, and S over three years. If factory P produced 40, 50, and 60 thousand cars in years 1, 2, and 3 respectively, what is the average yearly production of factory P?",50 thousand,55 thousand,60 thousand,45 thousand,A
"Referencing a table showing the revenue (in lakhs) of five companies over five years, if company D's revenue was 120, 130, 150, 170, and 160 lakhs respectively, what is the compound annual growth rate (CAGR) approximately over the five years?",7.4%,6.5%,8.1%,9.2%,A
"In a table depicting the number of books sold by a store in six genres over three months, if the total books sold in the mystery genre over three months is 540 and the sales in the first two months are 180 and 200, what are the sales in the third month?",160,170,150,140,A
"A table shows the population distribution (in thousands) of five cities over four census years. If city B's population increased from 800 to 1,120 thousand over the four censuses, what is the percentage increase in population?",40%,35%,30%,25%,A
"From a table showing monthly expenses of a household in categories like food, rent, education, and utilities, if the total monthly expense is 40,000 and rent is 35% of total, what amount is spent on rent?","14,000","12,000","15,000","13,000",A
"A table represents the production (in tons) of wheat, rice, and maize in three states over two years. If the total production of rice in year 1 is 600 tons and state X contributes 45% to this, how much rice did state X produce in year 1?",270 tons,280 tons,300 tons,320 tons,A
"According to a table showing the number of visitors to five different tourist spots in four seasons, if spot E had visitors 12,000 in summer, 15,000 in autumn, 10,000 in winter, and 13,000 in spring, what is the average number of visitors per season?","12,500","12,000","13,000","11,500",A
"A table presents data on the number of units sold of four electronic gadgets over four quarters. If the total units sold in quarter 3 is 2,400 and gadget C accounts for 30% of the sales, how many units of gadget C were sold in quarter 3?",720,700,680,750,A
The Pulitzer Prize is awarded in which category related to literature?,Journalism and letters,Science and technology,Sports achievements,Film and drama,A
Which literary award is specifically meant for Indian writers writing in any of the 24 recognized Indian languages?,Sahitya Akademi Award,Booker Prize,Commonwealth Writers' Prize,Nobel Prize in Literature,A
The Simon Commission was appointed under which act or government order?,Government of India Act 1919,Indian Councils Act 1892,Indian Independence Act 1947,Government of India Act 1935,A
The Salt Act imposed a tax on,salt manufacture and sale,opium trade,land revenue,textile exports,A
Which act provided for dyarchy in the provinces of British India?,Government of India Act 1919,Indian Councils Act 1909,Government of India Act 1935,Indian Independence Act 1947,A
The Indian Independence Act was passed in which year?,1947,1935,1919,1909,A
Which act introduced the concept of Diarchy in provincial governments in British India?,Government of India Act 1919,Government of India Act 1935,Indian Councils Act 1909,Rowlatt Act 1919,A
Which act passed by the British government in 1858 marked the end of the East India Company's rule in India?,Government of India Act 1858,Indian Councils Act 1861,Regulating Act 1773,Charter Act 1833,A
